Business Id	Name
0_CG2HJGjGAgyxVKlBgLGg	Fresh Cut
0_iCK7b_8eaUJVwWm42DIQ	Lloyds Pharmacy
0-9h0LgHXgV-jz5EXWmnmA	Rocket Caf�
0aJVALy940i-NMWDZsIPRg	Bisque Bar and Brasserie
0avjCQRA5Z2f_AuzXyILSQ	Baguette To Go
0fem_WQcDf1A-6KpuKQngg	Area C Coffeehouse
0FlLe1SZKZqf5Tg9VK1-gQ	Royal Lyceum Theatre
0gf-Yj5sEUy9fLCPOh63ng	Pret A Manger
0HjNgRpD6-knnoiuzf3VZA	Scottish National Gallery of Modern Art
0i7T91Si2TDFbfMlAXSvxg	The Healthy Life Centre
0Jm4RIxcfipZkl8KeZQVrw	St Andrews Restaurant
0JqnPXxys83sq_KE_qfNKg	Oxfam
0k7glgZf-HQbn03P95QftQ	Drum Central
0KAqZTv3ZLh2EoER5B2dvw	Sainsbury's
0kw9PdEVcPsgQlhTzDW-tA	Nyam Nyam
0MdwA1XvrmrSS8vpfLwHIQ	Nachos Fiesta
0mxZCQ5yeuEnMyoIKMj35w	Always Sunday
0n3jILpQWJfZB9TIeBdPGA	Beijing Banquet
0NL0n6HX6cYD_vbEnsEjmw	The Store
0Omz6epKqX2py53P2VAmqQ	Henry J Beans Bar & Grill
0pTizyj49v7gojQMU9JmYw	Canongate
0PV-2rsLqYVmRtD3T5_4uQ	Belford Hostel
0pwlo4P6QdkLVoHnIGh3hA	Queen S Hall Edinburgh
0Q0NwPdnpvHuaj3_-3_rBw	George Square Theatre
0qeh-wdHoioOELKWnmwEfA	Avizandum Law Book Shop
0QYuVCPx68s9tT4w1JBCDg	Hampton Hotel
0rcliyzkbfM0Lap6XGf4DQ	Cafe Nero
0sakQdGxfyJJakMO0o5zfA	Banana Republic
0SqTP0E4qHApit7b3u-AYg	Scotmid Co-operative
0SwfxGy6JxhzOdkOEz-zOA	Portobello Golf Course
0t-5Q9mVoYw105gBlEGlHQ	D F Mcleod
0tAn4SagXGaFLlu7LTDU0g	Starbucks
0TgiBiSmp6cHVGqDuIkANA	Cafe Cassis
0tvp5-2PyQlIsbCl4mxh2Q	Carters Bar
0uwFvhie3Ged9bzLNHbV1Q	Berits & Brown Leith Walk
0Va1E4j9Bn7HYT9sn-9Sfw	Rankins Cafe & Deli
0WfKcgXS6fnfkUJ4qLf3dw	Barioja Tapas Bar
0wKBViCpL-vFtzePIFIDDA	Pure Gym Edinburgh
0YA6O2vkekvJ5BgGn0srTw	Rabbie's
0yakdKkF51G7mHnoRxahTA	Build A Bear
0YVzWax3LlWYECacU-wUqQ	Shapla Takeaway
0zyYABvKr16SIk8-LzRPQw	Costa Coffee
1_hLQFlNOOjNy-5WVyJwdQ	Affogato
1_V_OVIzVPojoCEF-kPn6g	Accessorize
1AafpvPUntclXlLrqzGUzw	Prestonfield
1aFu-WWB_5slFJrT7enPJQ	Voujon
1BeJunz8wYpPHKDPZRW-ig	Le Mouton Noir
1bxu8TUE8g9tS_Hko8jfLQ	The Portobello Palm Tree
1bzAJS6Q01QPTQueO6Lb_w	Bierex Public House
1cC-LPmd-VRe2dXhk1fGHw	Blue Bar Cafe
1dsO4GdGe7OKrXmd9nfneg	Bodrum Express
