category	count
Restaurants	28778
Nightlife	17664
Bars	16847
Food	16218
Pubs	10576
Coffee & Tea	9426
Arts & Entertainment	5784
Hotels & Travel	5662
Shopping	5423
British	5226
Gastropubs	4056
Event Planning & Services	3878
Active Life	3607
Cafes	2825
Sandwiches	2820
Public Services & Government	2347
Grocery	2293
Breakfast & Brunch	2271
Local Flavor	2130
Venues & Event Spaces	2054
Bakeries	2038
Italian	2038
Fashion	1968
Hotels	1945
Landmarks & Historical Buildings	1944
Fast Food	1769
Parks	1700
Burgers	1584
Airports	1576
Cinema	1531
Delis	1426
Train Stations	1414
Wine Bars	1401
Scottish	1317
Fitness & Instruction	1306
Gyms	1116
Specialty Food	1079
Museums	1037
Cocktail Bars	1035
Department Stores	1016
Music Venues	1015
Lounges	1008
Shopping Centers	994
Indian	960
Breweries	918
Beer, Wine & Spirits	905
Pizza	780
Juice Bars & Smoothies	762
Modern European	730
French	717
Patisserie/Cake Shop	674
Ice Cream & Frozen Yogurt	670
Japanese	658
Brasseries	653
Performing Arts	620
Health & Medical	609
Seafood	608
Scandinavian	606
Beauty & Spas	606
Mexican	581
Tea Rooms	561
Sushi Bars	554
Art Galleries	534
Chinese	530
Desserts	525
Home & Garden	487
American (Traditional)	478
Thai	473
Swimming Pools	445
Festivals	434
Social Clubs	417
Flowers & Gifts	409
Books, Mags, Music & Video	407
Diners	383
Education	374
Bookstores	372
Tex-Mex	370
Chicken Wings	356
Steakhouses	356
Transportation	344
Tapas/Small Plates	328
Asian Fusion	317
Soup	314
Farmers Market	306
Chocolatiers & Shops	305
Vegetarian	298
Dance Clubs	293
Colleges & Universities	282
Women's Clothing	282
Sporting Goods	281
Tours	274
Barbeque	271
Leisure Centers	270
Arts & Crafts	268
Fish & Chips	265
Cosmetics & Beauty Supply	254
Bistros	254
American (New)	249
Hospitals	240
Libraries	230
Hiking	227
Day Spas	225
Spanish	216
Public Transportation	215
Ethnic Food	204
Health Markets	204
Himalayan/Nepalese	202
African	195
Turkish	192
Yoga	190
Accessories	184
Cards & Stationery	180
Vegan	172
Sports Bars	170
Men's Clothing	166
Portuguese	163
Botanical Gardens	162
Home Decor	162
Gluten-Free	161
Champagne Bars	157
Middle Eastern	154
Mediterranean	154
Salad	153
Beaches	152
Irish	149
Malaysian	143
Furniture Stores	137
Golf	133
Religious Organizations	131
Massage Therapy	129
Post Offices	128
Tapas Bars	128
Karaoke	127
Local Services	125
Churches	124
Cheese Shops	122
Food Court	120
Massage	119
Sports Wear	116
Zoos	115
Convenience Stores	111
Airport Shuttles	107
Stadiums & Arenas	106
Drugstores	104
Brazilian	99
Used, Vintage & Consignment	98
Buffets	95
Nurseries & Gardening	94
Thrift Stores	94
Dim Sum	91
Coffee & Tea Supplies	90
Gift Shops	90
Dive Bars	90
Hardware Stores	88
Soul Food	87
Discount Store	87
Hot Dogs	87
Trainers	87
Jazz & Blues	86
Hostels	86
Organic Stores	85
Bikes	81
Korean	80
Wineries	80
Bowling	79
Meat Shops	78
Delicatessen	75
Candy Stores	75
Pakistani	75
Donuts	74
Doctors	74
Christmas Markets	74
Electronics	73
Home Services	73
Bagels	73
Tiki Bars	71
Comedy Clubs	70
Seafood Markets	68
German	67
Specialty Schools	63
Mobile Phones	61
Soccer	58
