Business Id	Name
0_6u_uhvLYGRt9YLtZLa9A	Pizzeria Luisenstube
0_PhTFpxw-wYuqYDMvniZg	Bray Head
0dLjH5zWnbJDukuM3iQYvg	Humanic Filiale
0EvzDoylgqvrEw8R5AqoRA	Club Kiwi
0GJhI55FYF_ELmm88stj3Q	Webdome Internetcafe 2
0gk2GChsoEbRYhb0Myf5fw	Kulturcaf� Gotec
0h64oEQLhlMrrsko7B1eNA	Sol i Luna Restaurant
0hyxpJFwjaeTunP0IX0KZA	Wochenmarkt
0J0FdaT-dhECIrnnlfQqqA	San Marco
0mqni7gWoWJ1H5dN4Wwzsg	Olymp
0nrEqOgqxqV00HLjnLuRIg	Karlsruher Verkehrsverbund KVV
0NWm7KorY2NDl9jAjZPTRw	Thai Orchid
0OTWK0GcabvOWfaqqJsBxw	Mersin Kebab-Pizza-Imbi�
0Q7ftIbv1r7Jiupuxi7WDw	Syrtaki
0SgsUyw0sQSpt6CSI73r6Q	Zum Elsternest
0tIwFdNA942oqnm47cnw4w	Watts Brasserie
0W3K89HZ6zkNg3AqBMq4Dw	Klenerts
0WiuRhBf8WQlr1UqFgKEXQ	Olive - das kleine Restaurant
1djuLQ8LqHHYcJnh0WDuyg	Swarovski
1FQtU5Wa-POL8Mfyc1uIpg	only highend
1FVEeqJv6V6decG4S4ZNFw	J�ger Biergarten
1jDHVggroVhQAKLdktUhug	Fai Sushi
1kvSE6sDMloFO9FeHlKmqw	�mit Supermarkt
1n5hiaLwfqWY9T6X8kdQCw	Glam Fashion Store
1quHOEjmPf2-M1au4E99YQ	Trimm-Dich-Pfad
1t-91ideKB7wTRRmqp3GUA	ActivSports
1TmQbb_tbgi-c81-Nh7XRQ	Hornbach
1vObhKVuXQF7YX5R6qxwVA	Rote Taube
2EKGrbf2_81MrtjKZeOTng	coffee fellows
2fS1ssXEmuXH7t2zNx_DZQ	Judy's Caf�
2hTbsev_7hF8Fyla0zoUAw	Nuraghe
2J6pdzKizFye435wkEcMpg	Vongruen
2L7zKmpJ20jFaH4oJ3zZxw	KIT-Bibliothek
2PlaD6xXItbxo0ZbjQ7iQg	Pizzeria Stella Maris
2QclfX_80Y4T2zZ-h0FlmA	Unterhaus Gastst�ttenbetriebs
2t-6PSu5S0sx_0d8Au7SZg	Eiscafe Fantasia
2x1USZcrV-1zrEDLzaX-lw	Bombay Palace
3BvclNio2VNl3aZv3JYSsQ	H&M - Men
3C70DNk7sa0KuRJu3zKiXQ	Pomodoro
3DiXqoaoni15N1eYkM31rA	Santo's
3Dk5qrbYaP7lCYyjmo0JRg	Mogogo
3hrqeq7BVC8RP3rJBgCcIA	Pizzeria Fliegender Italiener
3jaMO63QpH_3JgbkpwmVdg	MoccaSin
3LA8ABDMBZnlEnVMmJ-YIA	B�ckerei-Konditorei Visel
3M9El2CzdEeSJUuDzZkslg	Gro�mudder's B�ckerei und Kaffestube
3O0EjrfbFtc0VQ0QKoO9AA	La Cultura Del Caffe
3POAu53GjpkGdimWn_sWcQ	City Copyshop
3Rm2NlH_9Tp249DqicoeqQ	Maredo
3SD06vMXD5YxdQGiJ11imw	Walksches Haus
3uIRIs9Bs1ImPjfQp-lYoA	Lehner's Wirtshaus
3vhkvCQizEJqcPfdURBj3g	amici
4aPi5_R5cu2OLnsB0v7e-Q	real,- SB Warenhaus
4cFtvtuV0UQ3fTW1nN4_YQ	Waldseilpark
4fZtwMekeFdChOBQizz8Fg	Burger King
4jx3VMVyPW1gL_yoHcGSQw	Stefan Mathias Fuchs
4KDLhTvuO9lMyYndr-m5Lw	Botanischer Garten
4Khs0-ezl2mwtsW1NiNv0A	Media Markt
4lanRbZT3tZx9Gv63SO7kQ	Pizzeria Centrale
4lMdi_QR1JZ1PqEWVWQ0oA	DFS Deutsche Flugsicherung
4N3t84XBpdBk0b1D6d9oYw	Aral
4od9zZAKUnJ8XVnLP3XTfw	Sonnenbad
4qI8E_OhC1RsO4nRtim-cQ	Schnitzelparadies
4svxTJsNoi1P6zt93_sGTg	real,- SB Warenhaus
4uVg4Sjqd1g2cIUQYAp_Wg	Kleiner Gourmet
4vjxL_Mjgc8Mx0JYb0kCGQ	Alnatura
4Wv8jwjLXc5NmxDOfhHEPw	Kim's Laden
4xU89g2zEgAsLNjr5epnww	culinarico
4XZmBXSb-IvtkQ2nx_TQSg	Bambus-Garten
4yesmwc2ySsEetCAcDvv4Q	Pralina
5_iXaDB-1Y2hHYJZ9xtSMQ	Zahnarzt Rudolf Pacner
5bxJ4vlqgYcY4YphULphsQ	Heinz B��ler
5cOhs2bPeCMYA7OdQ3AOrQ	Gasthaus dBadisch
5jb7i9_803c0YejTudYzHA	Shanghai China Schnellrestaurant
5OSRQPqJQ0ilgw25wx_PIg	Baggersee Staffort
5VTBQov3GPKQ-dl-GW4JeA	Cafe Eukalyptus
5wfKnQS46yzNQSVfK0Cugg	Class D�ner & Pizzahaus R�ppurr
5wUave1meYwsd6UFdihW4w	Maiers Restaurant Am See
5xXr_KnqboB4SclCe9d9jg	Falafelhaus
6Ai-Uz3h9eC7UiaLvR-irA	ZEL Restaurant
6B1uanM3lvWBkwfnsrROdQ	En Vogue
6B2uNKnslhbSFfym3Tw4ZQ	Cafe Brahms
6dOjMBKFbK3bRju_n4Tmog	St. Vincentius-Kliniken gAG Medizinische Klinik I
6FAJctqkP0uwTWfSV3lDSQ	Kofflers Heuriger
6ffwWT-0iWLc7TnKkh-Nuw	Ssc Gastst�tte
6fYqoI-jc2qpBAGOyWC65A	Zum Laub
6G6T-7zxuPtAOLbt6SGwAg	Baumarkt Max Bahr GmbH & Co. KG
6KnkxYDRGirlePVnVTvD7A	Caf� Journal
6ofpfv6Bb4_KaUN3YoT8Ew	Wiener Feinb�ckerei Heberer
6S-7J-16S4hMEFSFfJpZBQ	OpenAir Kino-N�chte
6So-3mhNwaJwXVKZ2_nZfA	Egon von Neindorff
6tey1FM5BY4Noema-aDqwQ	Milchh�usle
6WbvAT9Il4Fi9egO4F2M5g	La Pizza
6yCm35snSRmCQqXI8MlYSw	Restaurant La Signora
7a2RrK3SYgMOEuJesKBZLA	Pizzeria Steinofen
7eiSjE-Q8Z9hJXkzfUYlhA	McDonald's
7GFd-ao4w7MzUDb-qz-ayg	Oishii
