category	count
Restaurants	1866
Food	667
German	417
Nightlife	374
Bars	347
Hotels & Travel	321
Italian	239
Cafes	236
Train Stations	227
Beer Garden	222
Pizza	199
Breweries	178
Chinese	174
Coffee & Tea	164
Bakeries	149
Cocktail Bars	146
Shopping	125
Steakhouses	114
Arts & Entertainment	111
Thai	103
Active Life	101
Vietnamese	87
Asian Fusion	87
Grocery	85
Hotels	83
Event Planning & Services	83
Ice Cream & Frozen Yogurt	82
Burgers	80
Shopping Centers	80
American (Traditional)	74
Landmarks & Historical Buildings	71
Public Services & Government	71
Gastropubs	70
Kebab	68
Bistros	62
Turkish	60
Fast Food	59
Greek	57
Cinema	54
Curry Sausage	54
Japanese	49
Pubs	49
Parks	47
Tapas Bars	46
Spanish	40
Public Plazas	35
Specialty Food	33
Middle Eastern	30
Juice Bars & Smoothies	30
Beer Gardens	29
Sushi Bars	29
Lounges	25
Indian	22
Irish Pub	22
Dive Bars	22
Baden	19
Patisserie/Cake Shop	17
Museums	16
Books, Mags, Music & Video	15
Bookstores	15
Tex-Mex	15
French	15
Wine Bars	14
Home & Garden	14
Irish	13
Sports Bars	13
Pool Halls	13
Bavarian	13
Department Stores	13
Fashion	13
Salad	13
Mexican	12
Lebanese	11
Beer Hall	11
Mediterranean	11
Arabian	11
Bagels	10
Wok	10
Botanical Gardens	10
Vegetarian	10
Coffee & Tea Supplies	10
Furniture Stores	9
Soccer	9
Stadiums & Arenas	9
Diners	9
African	9
Dance Clubs	9
Castles	8
Vegan	8
Jazz & Blues	7
Brasseries	7
International	7
Education	7
Adult Education	7
Cultural Center	6
Performing Arts	6
Alsatian	6
Travel Services	6
Bowling	6
Festivals	5
Computers	5
Electronics	5
Kids Activities	5
Appliances	5
General Festivals	5
Food Delivery Services	5
Social Clubs	4
Home Decor	4
Champagne Bars	4
Amateur Sports Teams	4
Breakfast & Brunch	4
Bed & Breakfast	4
Tapas/Small Plates	4
Portuguese	3
Modern European	3
Outdoor Gear	3
Falafel	3
Sporting Goods	3
