category	count
Restaurants	2019568
Food	691961
Nightlife	583921
Bars	550342
Shopping	351092
American (New)	349342
American (Traditional)	309305
Mexican	274725
Active Life	252155
Breakfast & Brunch	249148
Coffee & Tea	234198
Pizza	191029
Sandwiches	183143
Arts & Entertainment	174087
Burgers	163325
Hotels & Travel	155136
Grocery	154585
Italian	153561
Fitness & Instruction	152553
Sports Bars	141491
Gyms	129480
Fast Food	129152
Beauty & Spas	119423
Sushi Bars	108448
Fashion	104254
Trainers	94486
Pubs	88195
Japanese	82512
Automotive	81985
Airports	79185
Event Planning & Services	79036
Chinese	75325
Seafood	73771
Mediterranean	70604
Lounges	68781
Department Stores	68228
Steakhouses	67436
Salad	66535
Wine Bars	64560
Vegetarian	62874
Bakeries	62486
Asian Fusion	62262
Cafes	61007
Ice Cream & Frozen Yogurt	59043
Barbeque	56065
Breweries	54694
Hotels	52278
Music Venues	51620
Shopping Centers	51067
Health & Medical	50944
Sports Clubs	48054
Drugstores	47987
Delis	47554
Specialty Food	46525
Home & Garden	45459
Cinema	45379
Chicken Wings	42567
Juice Bars & Smoothies	42126
Gluten-Free	40387
Nail Salons	38914
Convenience Stores	38680
Parks	37820
Thai	37789
Vietnamese	36844
Greek	34629
Beer, Wine & Spirits	34187
Local Services	33995
Women's Clothing	33667
Desserts	32930
Home Services	31785
Gas & Service Stations	31425
Vegan	31268
Gastropubs	28947
Venues & Event Spaces	28177
Diners	27980
Buffets	27622
Hair Salons	27296
Stadiums & Arenas	26454
Day Spas	24778
Donuts	24385
Real Estate	24205
Yoga	23806
Dive Bars	23205
Dance Clubs	22973
Tex-Mex	22711
Car Wash	22401
Wholesale Stores	22044
Hot Dogs	21194
Pets	20998
Apartments	20821
Cocktail Bars	20622
Public Services & Government	20357
Bagels	20253
Farmers Market	20181
Education	19894
Southern	19534
Irish	19160
Health Markets	18646
Outlet Stores	18362
Hair Removal	17493
Sporting Goods	17483
Men's Clothing	16934
Home Decor	16593
Cosmetics & Beauty Supply	16389
Hardware Stores	16019
Hawaiian	15814
Golf	15546
Skin Care	15148
Auto Repair	14390
Doctors	14213
Resorts	13705
Indian	13230
Pet Services	13182
Furniture Stores	13127
British	13085
Massage	13004
Books, Mags, Music & Video	12927
Appliances	12669
Middle Eastern	12432
Transportation	12023
Karaoke	11770
Performing Arts	11746
Colleges & Universities	11483
Financial Services	11353
Shoe Stores	11290
Pet Groomers	11192
Latin American	10985
Bubble Tea	10736
Waxing	10707
Banks & Credit Unions	10704
Organic Stores	10618
Cajun/Creole	10551
Soup	10389
Pet Stores	10232
Barbers	10130
Hiking	10085
